Sr. No.,Severity,Month,Down Time,Uptime,MTTR,"MTTR in 
Mints",Customer Name,RFO,Fault Type,Network,Required Action / Taken,Owner,Network Incident,Transport Circuit Id,Unnamed: 15,Customers,date
1,S1,Jan-26,01-01-2026 15:25,"01-01-2026
15:18:41
15:20:58
15:24:41
15:26:53",00:03:48,4,"Google (5.62T)
(GPX-1 to Kalwa)","Fiber cut in subnet C4 since 15:06 IST on 1st Jan and optical fluctuation observed in Span (Subnet C3) as per mentioned timestamps. As per the update from field support team, no activity was conducted on Subnet C3. Cause of span fluctuation is unidentified.",Fiber,MOFN,,,,,,['Google'],01-01-2026
2,S2,Jan-26,02-01-2026 00:44,"02-01-2026
04:13:23",03:29:00,209,"Google(6*100G)
(CHN MOFN between Netmagic to Annasalai )","Optics Controller Coherent, Port Minor alarm was present on SFM6 Card at Chennai Netmagic location. Transponder Card was replaced and alarm got cleared.",Hardware,MOFN,,,,"000780, 000777, 000778, 000781, 000779, 000782",,"['Google', 'Netmagic']",02-01-2026
3,S2,Jan-26,02-01-2026 10:04,"02-01-2026
10:14:00",00:10:00,10,"MUM-DEL: Amazon(7*100G), Oracle(1*100G), Cloudflare(1*100G), Riot Games(1*10G)
MUM-KOL: Vodafone(4*100G)
DEL-HYD:Oracle(1*100G)",Ongoing Fiber cut in link-2 between Vermana Vadodara to Channi bridge since 09:47 hrs IST. Fiber cut at Mumbai Triangle section between IBM to GPX2 at 10:04 hrs IST. Service rerouted via alternate path. ,Fiber,Smartnet,GPX-2 to IBM is shifted from UG to OPGW,,,"000137, 000138, 000139, 000140, 000141, 000290, 000291, 001321, 000998, 000125, 001177, 001178, 001263, 001264, 001322",,"['Amazon', 'Cloudflare', 'Oracle', 'Riot Games', 'Vodafone']",02-01-2026
4,S3,Jan-26,03-01-2026 02:31,"03-01-2026
03:22:43",00:51:43,52,Riot Games (1*10G MUM-DEL Offnet Circuit),"Fiber cut in supplier TCL network. Path-1 was affected between Delhi and Vaghodia in the Mavli–Kankroli section, and Path-2 was affected between Mumbai LVSB and Delhi in the Burda–Chitara section.",Fiber,Smartnet,,,,"003129, ",,['Riot Games'],03-01-2026
5,S1,Jan-26,06-01-2026 23:30,"06-01-2026
23:31:06",00:00:16,0,"Microsoft MAA026
(11.3T)",Fluctuation due to JCB activity at on the route. The team was onsite and performed a chamber shifting to avoid any foreseeable damage. This is Sev-4 incident.,Fiber,MOFN,,,,MAA026,,['Microsoft'],06-01-2026
6,S2,Jan-26,07-01-2026 15:35,"07-01-2026
14:17:16
15:41:17","00:05:40
00:06:09",12,Edgerede(4*10G MUM Metro),Fiber cut in worker path between GPX2_2 to LVSB at 14:11 IST. Protection port connections were not created in shimlayer automated provisioning. Service restored post worker channel was restored. Worker channel was in reversion at 15:35 IST post fiber cut restored between GPX2_2 to LVSB however the protection port connections were not created in shimlayer automated provisioning. Service restored post worker channel was restored.,Fiber + Config Issue,Smartnet,,,,"007471, 007472, 007473, 007474",,['Edgerede'],07-01-2026
7,S2,Jan-26,07-01-2026 12:12,"07-01-2026
12:14:59",00:02:59,3,Amazon(5*100G MUM-HYD),Fiber cut in Worker path betwen HYBD STT Madhupur to HYBD CtrlS S_431 in NLD segment. Protection channel on reversion state post span degradation cleared ongoing on the protection path of Mumbai-Hyderabad between Chittoor to Palamaneru. S_439_2.,Fiber,Smartnet,,,,"000142, 000143, 000144, 000145, 000147",,['Amazon'],07-01-2026
8,S2,Jan-26,08-01-2026 16:57,"08-01-2026
16:58:14",00:01:00,1,"MUM-CHN: Akamai(1*100G), IDFC(1*10G), Netflix(1*100G), PHONE PE(2*10G), SIFY CORP(2*10G), Telstra (3*100G), Wells Fargo(1*10G), Zenlayer(10G) CHN METRO: Flipkart(1*10G) 
BGL-CHN:Phonepe (2*10G)","Fiber paths down betweeen Annasalai to NTT_Ambattur (S810) and Annasalai to Netmagic(S811). Service rerouted via restoration path. As per the observation, Planned event ongoing for span loss rectification (Subnet N64). Cross connects of the other subnets (S810, S811) were disturbed. As per field team, S810 and  S811 were disturbed due to ants infested joint kit while opening to access N64 link. Fiber core broke as fiber deteriorated inside ant bit joint closure tray. This link as provided day one by project/ planning commonality at zero MH outside VSNL Annasalai. (3 paths in 2 cross connect at last mile)",Fiber,Smartnet,,,,"001099, 000393, 001098, 001541, 001551, 001087, 001241, 001331, 001430, 001499, 001289, 000731, 000727, 001542, 001552",,"['Akamai', 'Flipkart', 'IDFC', 'Netflix', 'PhonePe', 'Sify', 'Telstra', 'Wells Fargo', 'Zenlayer']",08-01-2026
9,S2,Jan-26,08-01-2026 16:57,"08-01-2026
17:00:14",00:03:00,3,"CHN Metro: Microsoft (8*100G), NTT(2*10G)
CHN-KOL: Akamai(1*100G)","Fiber paths down betweeen Annasalai to NTT_Ambattur (S810) and Annasalai to Netmagic(S811). Service rerouted via restoration path. As per the observation, Planned event ongoing for span loss rectification (Subnet N64). Cross connects of the other subnets (S810, S811) were disturbed. As per field team, S810 and  S811 were disturbed due to ants infested joint kit while opening to access N64 link. Fiber core broke as fiber deteriorated inside ant bit joint closure tray. This link as provided day one by project/ planning commonality at zero MH outside VSNL Annasalai. (3 paths in 2 cross connect at last mile)",Fiber,Smartnet,,,,"001432, 001431, 001434, 001433, 001372, 001371, 001373, 001374, 001120, 000932, 001206",,"['Akamai', 'Microsoft', 'NTT']",08-01-2026
10,S2,Jan-26,08-01-2026 16:57,"08-01-2026
17:04:14",00:07:00,7,"MUM-CHN: Amazon(4*100G), Telstra(1*100G)
CHN Metro: Microsoft(4*100G)","Fiber paths down betweeen Annasalai to NTT_Ambattur (S810) and Annasalai to Netmagic(S811). Service rerouted via restoration path. As per the observation, Planned event ongoing for span loss rectification (Subnet N64). Cross connects of the other subnets (S810, S811) were disturbed. As per field team, S810 and  S811 were disturbed due to ants infested joint kit while opening to access N64 link. Fiber core broke as fiber deteriorated inside ant bit joint closure tray. This link as provided day one by project/ planning commonality at zero MH outside VSNL Annasalai. (3 paths in 2 cross connect at last mile)",Fiber,Smartnet,,,,"000151, 000150, 000148, 000149, 001380, 000348, 000347, 000346, 000345",,"['Amazon', 'Microsoft', 'Telstra']",08-01-2026
11,S2,Jan-26,08-01-2026 16:57,"08-01-2026
17:46:14",00:49:00,49,CHN Metro: Microsoft(4*100G),Fiber paths down betweeen Annasalai to NTT_Ambattur (S810) and Annasalai to Netmagic (S811). Service remains down due to frequency was not available. Services restored post manually rerouting the channels and Cold restart to transponder cards on both paths at Annasalai.,Fiber,Smartnet,,,,"001534, 001533, 001531, 001532",,['Microsoft'],08-01-2026
12,S1,Jan-26,09-01-2026 15:22,"09-01-2026
17:26:00",02:04:00,124,"MUM-DEL: Amazon(19*100G), Cloudflare(1*100G), Meta(8*100G), Oracle(1*100G), Riot Games(1*10G), Sify(1*10G), Telstra(1*100G),
MUM-KOL: Vodafone(8*100G)
MUM-KHU: Kuiper(1*100G)
DEL-HYD: Oracle (1*100G)
DEL-GUJ: 8*100G (META)",Fiber cut between Langhanaj to Shihi Village since 09:39 IST and fiber cut between Jambudi to Devgarhbaria at 15:22 IST. Restored post fiber cut restored between Langhanaj to Shihi Village.,Fiber,Smartnet,,,,,,"['Amazon', 'Cloudflare', 'Kuiper', 'Meta', 'Oracle', 'Riot Games', 'Sify', 'Telstra', 'Vodafone']",09-01-2026
13,S2,Jan-26,10-01-2026 16:29,"10-01-2026
16:31:50",00:01:57,2,Bloomberg(1*10G MUM Metro),Protection SNC was off home and was taking preferred route than its actual route. Worker path affected due to fiber cut between BKC to CRTLS_2 (S62) and protection path affecte due to fiber cut between LALBAUG to CRTLS_1 (S60_2).,Fiber,Smartnet,,,,"001126, ",,['Bloomberg'],10-01-2026
14,S1,Jan-26,10-01-2026 20:30,"10-01-2026
20:30:38",00:00:20,0,"Google (4.42T MUM MOFN)
BOM35 Kalwa to BOM18 Chandivali",Observed Subnet I4 path was down due to high degradation and I3 path span fluctuated at 20:30:18 IST to 20:30:38 (20 sec),Fiber,MOFN,,,,,,['Google'],10-01-2026
15,S2,Jan-26,11-01-2026 23:54,"11-01-2026
23:59:44",00:05:26,5,META (3*100G DEL-GUJ),Worker SNC on reversion state post span degradtion clerared between Gift City MMR to Gift City DC  (S337). Protection SNC on reversion state post fiber cut between Shihi Village to Langhanaj (S81_2) due to CHN-30961.,Fiber,Smartnet,,,,"001384, 001385, 001386",,['Meta'],11-01-2026
16,S3,Jan-26,13-01-2026 17:03,"13-01-2026
20:54:00",03:51:00,231,Sify (MUM-KOL 1*100G),"Initially LOF alarm was observed at client handoff port of Sify Airoli from customer end and same was proactively reporeted to customer to check at their end. Joint troubleshooting was planned with customer. Our FE reached and self loop test was performed. Alarm was not cleared in Loop, so SFP reset and replacement was done but alarm still persited.
Further, TAC Tx team advised to delete and recreate logical cross conections. Post recreating the cross connection, service got restored at 20:54 IST.",Config Issue,Smartnet,,,,"001221, ",,['Sify'],13-01-2026
17,S1,Jan-26,14-01-2026 13:43,"15-01-2026
06:40:00","00:13:00
00:25:00",38,"Amazon(8*100G)
(BOM146 to BOM60)","Amazon 8*100G Mumbai MOFN services are down from since 13:43 IST on 14th Jan, Observing Loss of clock at BOM60-wdm-PP41-s5  PTP 1-1. Mail sent at 13:56 IST. FE got access to cage at 06:15 IST. Alarm cleared at 06:40 IST on 15th Jan 2026 post card replacement. MTTR calculated between outage start time to access communication mail.",Hardware,MOFN,,,,004033 to 004040,,['Amazon'],14-01-2026
18,S1,Jan-26,16-01-2026 09:51,"19-01-2026
16:31:00",00:07:00,7,"Amazon(8*100G)
(BOM119 to BOM76)","Amazon 8*100G Mumbai MOFN services are down from since 09:51 IST on 16th Jan, Observing Loss of clock at BOM119-wdm-PP59-s3 PTP 1-1. Mail sent at 09:58 IST for access and traffic drain. Traffic was drained and access was received. Alarm was cleared post card replacement at 16:31 IST.",Hardware,MOFN,,,,006869 to 006876,,['Amazon'],16-01-2026
19,S3,Jan-26,18-01-2026 05:52,"18-01-2026
06:26:00",00:34:00,34,Airtel(2*100G) Linear Services MUM-BLR,Link-3 was affected due to high fiber loss between Guhagarh to Dapoli. At reported timestamps fiber rectification was performed between Guhagarh to Dapoli in Link-3,Fiber,Smartnet,,,,"001200, 001271",,['Airtel'],18-01-2026
20,S1,Jan-26,21-01-2026 07:01,"21-01-2026
16:00:00",00:46:00,46,"Amazon(8*100G)
(BOM119 to BOM76)","Amazon 8*100G Mumbai MOFN services are down from since 07:01 IST on 21st Jan, Observing Loss of clock at BOM119-wdm-PP61-s5 PTP 1-1. Mail sent at 07:46 IST for access and traffic drain. Traffic was drained and access was received. Alarm was cleared post card replacement at 16:00 IST.",Hardware,MOFN,,,,006561 to 006568,,['Amazon'],21-01-2026
21,S1,Jan-26,21-01-2026 23:43,"22-01-2026
14:07:00",00:46:00,46,"Amazon(20*10G)
(BOM53 to 146)","Amazon 20*10G Mumbai MOFN services are down from since 23:43 IST on 21st Jan, Observing XCVR Failed alarm at BOM146-wdm-PP39-s2 PTP 1-1. Mail sent at 00:29 IST for access and traffic drain. Alarm cleared at 14:07 IST on 22nd Jan 2026 post XCVR jack out and jack in done at BOM146.",Hardware,MOFN,,,,003131 to 003150,,['Amazon'],21-01-2026
22,S1,Jan-26,22-01-2026 17:18,"22-01-2026
23:33:00",00:50:00,50,"Amazon (16*100G)
(BOM119 to BOM62)",16*100G services affected due to los of channel alarm on BOM62-wdm-PP60-s4  since 17:18 IST on 22nd Jan 2026. Node visibility of BOM119 was lost. Access mail was sent to amazon team at 17:41 IST. FE got access to amazon cage at 23:06 IST. Alarm got cleared at 23:33 post replacing the controller module card.,Hardware,MOFN,,,,006417 to 006432,,['Amazon'],22-01-2026
23,S3,Jan-26,23-01-2026 22:35,"24-01-2026
07:26:00",08:51:00,531,Airtel (2*100G Linear Services) MUM-BLR,Affected due to DLE card fault at Chitradurga site. Services restored post card replacement.,Hardware,Smartnet,,,,"001200, 001271",,['Airtel'],23-01-2026
24,S2,Jan-26,24-01-2026 06:22,"24-01-2026
06:27:38",00:05:26,5,"Phonepe(4*100G MUM-BLR), 
Sify(1*100G MUM-BLR)",Circuit Pack fail alarm at IP6 Chitradurga in NLD Link 03 & Fiber cut in NLD Link 5 & 7 between MN BASAVANAGUDI to Attibele since 24th Jan-26 06:22:12.,Fiber,Smartnet,,,,"000744, 000745, 000746, 000747, 000939",,"['PhonePe', 'Sify']",24-01-2026
25,S2,Jan-26,24-01-2026 07:57,"24-01-2026
07:59:38",00:02:19,2,PhonePe(1*100G MUM-BLR),"Work SNC was off home post card issue at Chintradurga & was riding via path Link-4 and link-5. At 06:22 IST, Work SNC was in restoration route due to fiber cut between MN Basavangudi to Attibele at 06:22:12.  At 07:57, work SNC went down due to fiber cut between CTRL-S to Basavangudi( S153). Protect SNC P1 went down due to fiber cut between CTRL-S to Basavangudi( S153).",Fiber,Smartnet,,,,"000396, ",,['PhonePe'],24-01-2026
26,S2,Jan-26,24-01-2026 14:59,"24-01-2026
15:04:16",00:05:04,5,"Sify(1*100G MUM-KOL), 
Akamai(1*100G CHN-KOL)",Planned activity in worker path between Howrah to Tarkeshwar(Due to CHN-31556). Span fluctuation between Chanduati to Jahanabad at 14:59 IST.,Fiber + PE,Smartnet,"As per the discussion, this is OPGW fiber path and experience the outage rarely. No work around suggested by SEG Team and the paths will remain as it is",,,"001221, 001247",,"['Akamai', 'Sify']",24-01-2026
27,S1,Jan-26,25-01-2026 06:21,"25-01-2026
07:55:00",01:34:00,94,Sify(1*100G HYD-CHN),"Power issue at Hyderabad Sify FD. Post power issue was resolved, intercard suspected alarm was observed transponder card. Post cold reset to card, alarm got cleared and service restored",Power,Smartnet,,,,"001205, ",,['Sify'],25-01-2026
28,S1,Jan-26,,"25-01-2026
07:04:00",00:43:00,43,"Oracle(2*100G HYD-CHN, DEL-HYD)",Power issue at Hyderabad Sify FD. Restored post power issue was resolved.,Power,Smartnet,,,,"001322, 001337",,['Oracle'],25-01-2026
29,S1,Jan-26,25-01-2026 13:37,"25-01-2026
14:47:00",01:10:00,70,"Microsoft MAA026
(11.3T)",Fiber cut in microsoft MOFN network due to drainage activity by Chennai Corproration near MAAA-21. Services restored by temportarily restoring aerial patch. This is Sev-2 incident.,Fiber,MOFN,,,,,,['Microsoft'],25-01-2026
30,S1,Jan-26,25-01-2026 13:37,"25-01-2026
15:19:00",01:42:00,102,"Microsoft MAA033
(25.6T)",Fiber cut in microsoft MOFN network due to drainage activity by Chennai Corproration near MAAA-21. Services restored by temportarily restoring aerial patch. This is Sev-2 incident.,Fiber,MOFN,,,,,,['Microsoft'],25-01-2026
31,S1,Jan-26,25-01-2026 13:37,"25-01-2026
15:29:00",01:52:00,112,"Microsoft MAA034
(25.6T)",Fiber cut in microsoft MOFN network due to drainage activity by Chennai Corproration near MAAA-21. Services restored by temportarily restoring aerial patch. This is Sev-2 incident.,Fiber,MOFN,,,,,,['Microsoft'],25-01-2026
32,S1,Jan-26,25-01-2026 13:37,"25-01-2026
15:13:00",01:36:00,96,"Microsoft MAA037
(25.8T)",Fiber cut in microsoft MOFN network due to drainage activity by Chennai Corproration near MAAA-21. Services restored by temportarily restoring aerial patch. This is Sev-2 incident.,Fiber,MOFN,,,,,,['Microsoft'],25-01-2026
33,S1,Jan-26,25-01-2026 13:37,"25-01-2026
15:15:00",01:38:00,98,"Microsoft MAA038
(25.6T)",Fiber cut in microsoft MOFN network due to drainage activity by Chennai Corproration near MAAA-21. Services restored by temportarily restoring aerial patch. This is Sev-2 incident.,Fiber,MOFN,,,,,,['Microsoft'],25-01-2026
34,S1,Jan-26,27-01-2026 13:31,"27-01-2026
20:27:00",01:12:00,72,"Amazon(16*100G MUM MOFN)
BOM146 to BOM60",16*100G services affected due to los of channel alarm on BOM60-wdm-PP41-s3 since 13:31 IST on 27th Jan 2026. Access mail was sent to amazon team at 13:55 IST. FE got access to amazon caage at 19:39 IST. Alarm got cleared at 20:27 IST post card replaced at BOM146.,Hardware,MOFN,,,,004001 to 004016,,['Amazon'],27-01-2026
35,S3,Jan-26,27-01-2026 22:34,"27-01-2026 
23:26:58",00:52:35,53,HGC (LA-SING 1*10G),Affected due Emergecny planned activity by APAC NOC's third party supplier TELIN. Activity was not notified to India NOC by APAC NOC.,Supplier,Global DCI,,,,"002908, ",,['HGC'],27-01-2026
36,S1,Jan-26,29-01-2026 22:40,"30-01-2026
00:22:00",01:42:00,102,"Microsoft MAA026
(11.3T)","Earlier rerouted Aerial fiber was disturbed by sudden NHAI boom crane based concreting machine for emergency repair. This aerial was temporarily done on 25th Jan fiber outage. NHAI team completed the concreting, post which the fiber repair was completed. This is Sev-2 incident.",Fiber,MOFN,,,,,,['Microsoft'],29-01-2026
37,S1,Jan-26,29-01-2026 22:40,"30-01-2026
00:46:00",02:06:00,126,"Microsoft MAA034
(25.6T)","Earlier rerouted Aerial fiber was disturbed by sudden NHAI boom crane based concreting machine for emergency repair. This aerial was temporarily done on 25th Jan fiber outage. NHAI team completed the concreting, post which the fiber repair was completed. This is Sev-2 incident.",Fiber,MOFN,,,,,,['Microsoft'],29-01-2026
38,S1,Jan-26,29-01-2026 22:40,"30-01-2026
00:45:00",02:05:00,125,"Microsoft MAA038
(25.6T)","Earlier rerouted Aerial fiber was disturbed by sudden NHAI boom crane based concreting machine for emergency repair. This aerial was temporarily done on 25th Jan fiber outage. NHAI team completed the concreting, post which the fiber repair was completed. This is Sev-2 incident.",Fiber,MOFN,,,,,,['Microsoft'],29-01-2026
39,S1,Jan-26,29-01-2026 22:53,"30-01-2026
00:44:00",01:51:00,111,"Microsoft MAA033
(25.6T)","Earlier rerouted Aerial fiber was disturbed by sudden NHAI boom crane based concreting machine for emergency repair. This aerial was temporarily done on 25th Jan fiber outage. NHAI team completed the concreting, post which the fiber repair was completed. This is Sev-2 incident.",Fiber,MOFN,,,,,,['Microsoft'],29-01-2026
40,S1,Jan-26,29-01-2026 22:53,"30-01-2026
00:41:00",01:48:00,108,"Microsoft MAA037
(25.8T)","Earlier rerouted Aerial fiber was disturbed by sudden NHAI boom crane based concreting machine for emergency repair. This aerial was temporarily done on 25th Jan fiber outage. NHAI team completed the concreting, post which the fiber repair was completed.  This is Sev-2 incident.",Fiber,MOFN,,,,,,['Microsoft'],29-01-2026
41,S1,Jan-26,30-01-2026 00:18,"30-01-2026
00:22:35",00:04:35,5,Microsoft(4*100G CHN Metro),"Span degradation in worker path between Annasalai to NTT Ambattur (S810)
Fiber cut between NTT Ambattur to Sify Siruseri (S918) in protection path",Fiber,Smartnet,,,,"001534, 001533, 001531, 001532",,['Microsoft'],30-01-2026
1,S3,Feb-26,03-02-2026 09:07,"03-02-2026
14:30:00",05:23:00,323,Riot Games(Offnet ILL via supplier TCL),"As per supplier TCL, service was shut down by them as PO was not shared by lightstorm for the renewal. PO end date was 31 Dec 2025 and TCL team shut the ports on 21st Jan 26. Service restored post we reported the issue to supplier and ports made up by supplier.",Supplier,ILL,,,,091MUMB030036631778_967523,,"['Riot Games', 'TCL']",03-02-2026
2,S3,Feb-26,04-02-2026 17:46,"04-02-2026
23:04:00","00:36:00
00:28:00",64,Microsoft(1*400G) CHN MOFN,1*400G service was affected due to Incoming Payload Signal Absent alarm at MAA21 node MAA35 span. Mail was sent to customer at 18:22 IST for access. Access was gained to cage at 22:36 IST. Alarm was cleared at 23:04 IST post patch chord replacement between CISCO and Adva devices at MAA22. This is Sev-4 incident.,Hardware,MOFN,,,,"007949,  ",,['Microsoft'],04-02-2026
3,S3,Feb-26,05-02-2026 02:52,"05-02-2026
03:23:00",00:31:00,31,Riot Games (1*10G MUM-DEL Offnet Circuit),Affected due to fiber cuts in supplier TCL network between Vijaypur-Jalalpura and Dhakale-Fountain.,Supplier,Smartnet,,,,"003129, ",,['Riot Games'],05-02-2026
4,S3,Feb-26,06-02-2025 12:42,"06-02-2025
11:58:37
12:43:46","00:00:14
00:01:03",1,Airtel (2*100G Linear Services) MUM-BLR,Affected due to fiber cut in momentary span degradation between IP4 Panvel and MUMB CtrlS on the Mumbai–Bangalore NLD section,Fiber,Smartnet,,,,"001200, 001271",,['Airtel'],06-02-2025
5,S2,Feb-26,06-02-2026 12:52,"06-02-2026
13:03:36",00:11:00,11,"MUM-DEL: Amazon(8*100G)
DEL-HYD: Oracle (1*100G)
MUM-KOL: Vodafone(4*100G)",Link-2 was down due to fiber cut between Eklara to Valsad since 08:28 IST and Fiber cut in Link-1 between GPX to IBM at 12:52 IST.,Fiber,Smartnet,"As per Prakash Gole, We can shift the channels to S11 as it is shifted to OPGW.",,,"000137, 000138, 000139, 000140, 000141, 000160, 000290, 000291, 001266, 001267, 001268, 001269, 001322",,"['Amazon', 'Oracle', 'Vodafone']",06-02-2026
6,S3,Feb-26,08-02-2026 14:14,"08-02-2026
14:14:46",00:00:06,0,Flipkart(1*10G CHN Metro),Fiber span degradation between Adani DC to sify tidel park (S822) in worker path and fiber cut in protection path between Adani DC to Ambattur2 (S821),Fiber,Smartnet,,,,"000727, ",,['Flipkart'],08-02-2026
7,S1,Feb-26,08-02-2026 17:19,"08-02-2026
18:33:04",01:13:50,74,"MUM-BLR: Phonepe(2*100G), Sify(1*100G), Airtel(2*100G Linear Services)
BLR-PUN:PhonePe(1*10G),",Affected due to power issue at MNR Nagar at Banglore NLD node. Services restored post power issue was resolved.,Power,Smartnet,,,,"000746, 000747, 000939, 001543, 001200, 001271",,"['Airtel', 'PhonePe', 'Sify']",08-02-2026
8,S3,Feb-26,08-02-2026 17:19,"08-02-2026
21:04:00",03:44:46,225,BLR-CHN: Sify(1*100G),"Affected due to power issue at MNR Nagar at Banglore metro section. Post power fault, card was in rebooting state. Service restored post card replacement.",Hardware,Smartnet,,,,"001340, ",,['Sify'],08-02-2026
9,S1,Feb-26,10-02-2026 09:06,"11-02-2026
21:21:00",01:31:00,91,"Amazon(20*10G)
(BOM60 to 146)",20*10G services affected due to loss of channel alarm on BOM60-wdm-PP41-s2 since 09:06 IST on 10th Feb 2026. Access mail was sent to amazon team at 09:21 IST. FE got access to amazon cage at 20:05 IST. Alarm got cleared at 21:21 IST post card replaced at BOM146.,Hardware,MOFN,,,,"004131, 004132, 004133, 004134, 004135, 004136, 004137, 004138, 004139, 004140, 004141, 004142, 004143, 004144, 004145, 004146, 004147, 004148, 004149, 004150",,['Amazon'],10-02-2026
10,S1,Feb-26,10-02-2026 17:19,"10-02-2026
18:34:00",01:14:11,74,"Microsoft CHN MOFN
MAA10 (12.9T)","Fiber cut in Span MAA10, MAA12, MAA14, MAA16.As per Field OPS, Recently laid aerial cable cut forcibly by corporation. Permanently restored to UG.",Fiber,MOFN,UG completed by Field OPS Team ,,,,,['Microsoft'],10-02-2026
11,S1,Feb-26,10-02-2026 17:19,"10-02-2026
18:36:00",01:16:11,76,"Microsoft CHN MOFN
MAA12 (12.8T)","Fiber cut in Span MAA10, MAA12, MAA14, MAA16.As per Field OPS, Recently laid aerial cable cut forcibly by corporation. Permanently restored to UG.",Fiber,MOFN,UG completed by Field OPS Team ,,,,,['Microsoft'],10-02-2026
12,S1,Feb-26,10-02-2026 17:19,"10-02-2026
18:56:00",01:36:11,96,"Microsoft CHN MOFN
MAA14 (25.7T)","Fiber cut in Span MAA10, MAA12, MAA14, MAA16.As per Field OPS, Recently laid aerial cable cut forcibly by corporation. Permanently restored to UG.",Fiber,MOFN,UG completed by Field OPS Team ,,,,,['Microsoft'],10-02-2026
13,S1,Feb-26,10-02-2026 17:19,"10-02-2026
18:55:00",01:35:11,95,"Microsoft CHN MOFN
MAA16 (25.6T)","Fiber cut in Span MAA10, MAA12, MAA14, MAA16.As per Field OPS, Recently laid aerial cable cut forcibly by corporation. Permanently restored to UG.",Fiber,MOFN,UG completed by Field OPS Team ,,,,,['Microsoft'],10-02-2026
14,S1,Feb-26,10-02-2026 18:18,"10-02-2026
18:23:15",00:05:05,5,"Microsoft CHN MOFN
MAA030 (1.2T)","Fluctuation in span MAA30 of Chennai Microsoft MOFN while restoring the subnets MAA010, MAA012, MAA014, MAA016.",Fiber,MOFN,,,,,,['Microsoft'],10-02-2026
15,S3,Feb-26,13-02-2026 11:02,"13-02-2026
12:27:25",01:25:00,85,Oracle(1*100G HYD-CHN),"Affected due to planned activity in worker path between Ibrahimpatam and Mangollu. Service was switched to protection path however did not carry traffic. Further investigation revelead that protection port of Chennai ambattur was heavily erroring and optical power was degraded. Post power adjustment, service restored. The patch chord was between transponder and OPS was replaced once worker path was available",Fiber + PE,Smartnet,,,,"001337, ",,['Oracle'],13-02-2026
16,S2,Feb-26,13-02-2026 11:10,"13-02-2026
11:11:31",00:00:32,1,Amazon(2*100G BLR-HYD),Worker SNC on reversion state post fiber cut cleared between Berigai to Kuppam(S166) in link-5. Protection snc down at 11:11 due to planned activity started between Ibrahimpatm to Mangollu ,Fiber + PE,Smartnet,,,,"000154, 000156,",,['Amazon'],13-02-2026
17,S3,Feb-26,13-02-2026 22:40,"13-02-2026
23:20:00",00:40:00,40,Microsoft(1*400G CHN MOFN MAA002),Observed Loss of Frame at OUT:1/1/10 port of Cisco node MAA21 in span of MAA002. Alarm was auto cleared. Detailed RFO awaited from CISCO case:700428066 ,Hardware,MOFN,,,,"005878, ",,['Microsoft'],13-02-2026
18,S2,Feb-26,14-02-2026 02:37,"14-02-2026
02:38:32",00:01:21,1,Phonepe(2*100G MUM-BLR),"Worker SNC was off home due to fiber cut at 00:40 IST between MN R Nagar2 and Govindappa and ISRO and BGLR NM WF at 00:45 IST. Worker SNC was riding on W3. AT 02:37 IST, W3 and P1 went down due to fiber cut between BGLR CTRLS and NM WF.",Fiber,Smartnet,,,,"000746, 000747,",,['PhonePe'],14-02-2026
19,S2,Feb-26,14-02-2026 15:17,"14-02-2026
15:17:07",00:00:06,0,Citadel (1*10G MUM-SING),"As per supplier MIST, suspected shunt fault was observed in their subsea network",Supplier,Global DCI,,,,"001490, ",,['Citadel'],14-02-2026
20,S2,Feb-26,18-02-2026 12:06,"18-02-2026
12:17:00",00:11:00,11,"MUM-DEL: Amazon(8*100G), Meta(8*100G), Riot Games(1*10G), Cloudflare(1*100G), Oracle(1*100G)
MUM-KOL: Vodafone(8*100G)
DEL-HYD:Oracle(1*100G)","Link-1 SNC was under restoraton post span flap between SV-16 to Phadge. At 12:06, fiber cut was observed between Gift City Lavarpar and Lahalganj.",Fiber,Smartnet,,,,"000137, 000138, 000139, 000140, 000141, 000160, 000290, 000291, 000969, 000970, 000966, 000967, 001231, 001232, 001233, 001234, 000125, 000998, 001321, 001177, 001178, 001263, 001264, 001266, 001267, 001268, 001269, 001322",,"['Amazon', 'Cloudflare', 'Meta', 'Oracle', 'Riot Games', 'Vodafone']",18-02-2026
21,S2,Feb-26,18-02-2026 12:37,"18-02-2026
12:39:00",00:02:00,2,"MUM-DEL: Meta(2*100G), Oracle(1*100G)
MUM-KOL: Vodafone(4*100G),","The fiber cut between Gift City Lavarpar and Lahalganj (since 12:06 IST) was still ongoing.
At 12:37 IST, a minor span fluctuation was observed between Phadge and SV-16.",Fiber,Smartnet,,,,"001231, 001232, 001321, 001177, 001178, 001263, 001264",,"['Meta', 'Oracle', 'Vodafone']",18-02-2026
22,S2,Feb-26,18-02-2026 12:46,"18-02-2026
12:57:00",00:11:00,11,"MUM-DEL: Amazon(8*100G), 
MUM-KHU: Kuier(1*100G)
DEL-HYD:Oracle(1*100G)","After restoration of the fiber cut between Langhanaj and Gift City Lavarpar (on the protection path), Protection SNC was in reversion state. At 12:46 IST, an “Automatic Power Reduction (APR) Active” alarm was observed on the worker path at Devgarhbaria.",Fiber,Smartnet,,,,"000137, 000138, 000139, 000140, 000141, 000160, 000290, 000291, 001215, 001322",,"['Amazon', 'Kuiper', 'Oracle']",18-02-2026
